City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Ouango,CF,4.3133,22.5552,87.53,57,82,3.13,light rain
80,Barrow,US,71.2906,-156.7887,30.22,74,90,23.02,light snow
81,Dikson,RU,73.5069,80.5464,32.63,73,100,17.07,overcast clouds
82,Saint-Philippe,RE,-21.3585,55.7679,78.39,69,12,13.87,few clouds
83,Harper,LR,4.375,-7.7169,80.64,78,91,6.69,light rain
84,Longyearbyen,SJ,78.2186,15.6401,37.24,87,75,2.3,broken clouds
85,Atuona,PF,-9.8,-139.0333,77.77,76,83,20.27,broken clouds
86,Redlands,US,34.0556,-117.1825,73.49,20,1,0.0,clear sky
87,Ballina,AU,-28.8667,153.5667,63.79,63,3,9.1,clear sky
88,Ambilobe,MG,-13.2,49.05,93.92,28,69,13.04,broken clouds
89,San Patricio,US,28.017,-97.5169,76.82,88,57,4.32,broken clouds
90,Mackay,AU,-21.15,149.2,72.05,90,0,6.85,clear sky
91,Olinda,BR,-8.0089,-34.8553,82.13,74,40,9.22,scattered clouds
92,Sept-Iles,CA,50.2001,-66.3821,42.06,89,90,4.0,overcast clouds
93,Saldanha,ZA,-33.0117,17.9442,57.87,60,70,22.35,broken clouds
94,Goderich,CA,43.7501,-81.7165,60.91,84,100,12.26,overcast clouds
95,Aykhal,RU,66.0,111.5,28.6,50,25,1.07,scattered clouds
96,San Jeronimo,PE,-11.9472,-75.2829,44.44,93,67,1.03,broken clouds
97,Fort Nelson,CA,58.8053,-122.7002,48.54,51,100,12.62,overcast clouds
98,Msanga,TZ,-6.05,36.0333,89.53,24,90,7.18,overcast clouds
99,East London,ZA,-33.0153,27.9116,63.86,70,47,23.64,light rain
100,Camacupa,AO,-12.0167,17.4833,88.59,27,3,5.57,clear sky
101,Nikolskoye,RU,59.7035,30.7861,57.87,56,100,7.34,overcast clouds
102,Tiksi,RU,71.6872,128.8694,25.95,88,33,13.35,scattered clouds
103,Bathsheba,BB,13.2167,-59.5167,84.81,74,40,19.57,scattered clouds
104,Acapulco,MX,16.8634,-99.8901,77.41,84,60,4.21,broken clouds
105,Cherskiy,RU,68.75,161.3,23.7,93,100,9.46,light snow
106,Hachinohe,JP,40.5,141.5,63.82,69,15,12.17,few clouds
107,Chokurdakh,RU,70.6333,147.9167,12.24,92,97,6.4,overcast clouds
108,Maracacume,BR,-2.0428,-45.9592,80.28,77,34,6.06,scattered clouds
109,Hermanus,ZA,-34.4187,19.2345,60.91,63,96,17.78,overcast clouds
110,Komsomolskiy,UZ,40.4272,71.7189,60.22,33,93,11.5,haze
111,Ponta Do Sol,PT,32.6667,-17.1,79.72,72,0,1.74,clear sky
112,New Norfolk,AU,-42.7826,147.0587,54.91,74,100,2.86,overcast clouds
113,Kawalu,ID,-7.3817,108.2082,74.19,81,43,4.61,moderate rain
114,Odweyne,SO,9.4092,45.064,88.92,32,35,10.0,scattered clouds
115,Malakal,SS,9.5334,31.6605,84.24,65,100,5.7,overcast clouds
116,Kutum,SD,14.2,24.6667,88.2,14,0,7.34,clear sky
117,Rusape,ZW,-18.5278,32.1284,88.54,17,5,6.96,clear sky
118,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,78,41,10.02,scattered clouds
119,Pisco,PE,-13.7,-76.2167,60.85,88,90,4.61,overcast clouds
120,Cape Town,ZA,-33.9258,18.4232,61.12,46,87,17.69,overcast clouds
121,Halifax,CA,44.6453,-63.5724,50.68,94,19,7.76,few clouds
122,Kondinskoye,RU,59.6481,67.41,39.67,63,100,10.58,overcast clouds
123,Colares,PT,38.7992,-9.4469,73.33,72,75,8.99,broken clouds
124,Sitka,US,57.0531,-135.33,49.89,76,90,23.02,light rain
125,Kavieng,PG,-2.5744,150.7967,82.6,69,98,6.44,overcast clouds
126,Tuktoyaktuk,CA,69.4541,-133.0374,34.93,91,100,15.01,overcast clouds
127,Severo-Kurilsk,RU,50.6789,156.125,49.55,97,100,13.94,moderate rain
128,Codrington,AU,-38.2667,141.9667,50.29,92,20,3.27,few clouds
129,East Bethel,US,45.3194,-93.2025,68.04,95,90,3.44,overcast clouds
130,Buta,CD,2.7858,24.73,70.43,100,100,2.84,heavy intensity rain
131,Georgetown,MY,5.4112,100.3354,85.95,77,20,4.61,few clouds
132,Pangnirtung,CA,66.1451,-65.7125,36.72,76,100,0.85,overcast clouds
133,Seddon,AU,-37.8068,144.8916,58.37,93,90,3.0,overcast clouds
134,Aitape,PG,-3.1374,142.3475,78.55,86,92,2.01,overcast clouds
135,Pemba,MZ,-12.974,40.5178,80.49,66,6,13.87,clear sky
136,Koutiala,ML,12.3917,-5.4642,85.68,59,84,8.43,broken clouds
137,Kloulklubed,PW,7.0419,134.2556,79.3,73,100,14.0,overcast clouds
138,El Cerrito,CO,3.6855,-76.3137,67.68,94,40,3.44,fog
139,Auki,SB,-8.7676,160.7034,77.45,86,81,2.82,broken clouds
140,Grindavik,IS,63.8424,-22.4338,45.07,81,75,20.71,broken clouds
141,Bambous Virieux,MU,-20.3428,57.7575,77.22,67,20,15.93,few clouds
142,Kempsey,AU,-31.0833,152.8333,59.95,90,79,3.33,broken clouds
143,Tadine,NC,-21.55,167.8833,70.48,91,100,20.83,light rain
144,Ancud,CL,-41.8697,-73.8203,38.73,71,22,10.69,few clouds
145,Severodvinsk,RU,64.5635,39.8302,48.31,63,98,6.82,overcast clouds
146,Chuy,UY,-33.6971,-53.4616,57.99,75,0,6.51,clear sky
147,Kargat,RU,55.1956,80.2811,36.93,71,100,10.29,overcast clouds
148,Victoria,HK,22.2855,114.1577,89.22,75,10,8.99,light rain
149,Bentiu,SS,9.2333,29.8333,82.76,69,97,1.68,overcast clouds
150,Vostok,RU,46.4856,135.8833,37.49,94,77,3.76,broken clouds
151,Lata,PT,40.1629,-8.3327,68.92,77,100,3.11,overcast clouds
152,Port Lincoln,AU,-34.7333,135.8667,63.99,64,84,13.53,broken clouds
153,Warmbad,NA,-28.45,18.7333,65.84,27,20,11.77,few clouds
154,Thompson,CA,55.7435,-97.8558,45.86,75,0,3.42,clear sky
155,Curup,ID,-3.4667,102.5333,70.93,98,95,2.91,overcast clouds
156,Porto Belo,BR,-27.1578,-48.5531,70.16,93,100,7.02,overcast clouds
157,Murbad,IN,19.25,73.4,88.81,82,97,1.32,overcast clouds
158,Tilichiki,RU,60.4667,166.1,37.89,95,99,1.41,overcast clouds
159,Nadvoitsy,RU,63.8667,34.3167,51.19,79,100,8.32,overcast clouds
160,Durban,ZA,-29.8579,31.0292,68.92,80,100,3.0,moderate rain
161,Berdigestyakh,RU,62.0989,126.6992,29.5,81,39,3.51,scattered clouds
162,Mantua,IT,45.1667,10.7833,73.44,62,72,1.99,broken clouds
163,Faanui,PF,-16.4833,-151.75,78.26,77,26,19.17,light rain
164,Luan,CH,46.3592,6.9759,66.56,61,47,1.99,scattered clouds
165,Yulara,AU,-25.2406,130.9889,85.84,21,2,14.97,clear sky
166,Cooma,AU,-36.2333,149.1333,45.46,96,75,2.93,broken clouds
167,Monte Patria,CL,-30.6919,-70.9467,57.04,55,96,1.61,overcast clouds
168,Kodiak,US,57.79,-152.4072,35.8,57,21,22.3,few clouds
169,Pochutla,MX,15.7432,-96.4661,75.81,90,84,4.23,broken clouds
170,Srednekolymsk,RU,67.45,153.6833,26.4,96,96,6.85,overcast clouds
171,Jaumave,MX,23.4167,-99.3833,63.95,92,100,1.61,overcast clouds
172,Ginda,IN,30.6945,78.4932,68.68,85,68,3.18,broken clouds
